원형                                 p 조각       평균오차    크기비  큰 편차 선
one_button_jacket_body            83 앞판      0.138   0.97  앞어깨선,앞암홀,가슴다트,앞옆선,앞밑단,낸단
sweat_shirt_body                  57 앞판      0.136   0.95  앞암홀,앞옆선,앞밑단
leggings                          41 뒤판      0.136   0.99  뒤중심선,뒤밑위곡선,뒤인심,뒤옆선,뒤허리선
skirt_flared                      15 앞판      0.136      -  앞허리선,앞옆선
skirt_flared                      15 뒤판      0.134      -  뒤허리선,뒤옆선,뒤밑단
shawl_collar_jacket_body          85 앞판      0.132   1.02  가슴다트,앞옆선,앞밑단,고지라인,라펠노치,라펠외곽
hourglass_jacket_body             79 앞판      0.129   0.99  앞암홀,앞옆선,앞밑단,낸단,라펠노치,라펠외곽
stand_collar                      89         0.129   1.00  목둘레선,앞끝,윗선
shawl_collar_jacket_body          85 뒤판      0.126   1.01  뒤중심선,뒤옆선
china_collar_blouse_body          53 앞판      0.126   1.00  앞암홀,앞옆선위,가슴다트,앞옆선,앞밑단
skirt_trumpet                     17 뒤판      0.125      -  겹트임덧단,뒤절개선안,뒤절개선밖,뒤옆선,뒤밑단1,뒤밑단2
hood                              59         0.125   1.01  얼굴선,후드윗선,후드밑선
top_body                          48 뒤판      0.122   1.01  뒤중심선,뒤중심선아래,뒤옆선,뒤밑단
tailored_collar                   74         0.120   0.98  외곽선
flat_collar_dress_body            69 앞판      0.119   1.02  앞암홀,가슴다트,앞옆선,앞허리다트,앞밑단
stand_collar_jacket_body          89 뒤판      0.117   1.02  뒤중심선,뒤옆선,뒤밑단
h_line_dress_body                 65 앞판      0.116   1.00  앞목선,앞어깨선,앞암홀,가슴다트,앞옆선,앞허리다트
pants_hipbone                     30 앞판      0.115   1.03  앞인심,앞옆선,앞밑단
pants_wide                        37 앞판      0.114   1.03  앞다트,앞허리선밖,앞밑위곡선,앞인심,앞옆선
china_collar_blouse_body          53 뒤판      0.111   1.00  뒤암홀,뒤중심선,뒤중심선아래,뒤옆선
banana_band                       71         0.111   0.99  목둘레선,윗선
skirt_pleated                     25 앞판      0.108   0.99  앞허리선,앞옆선,앞밑단
hourglass_jacket_body             79 뒤판      0.108   1.01  뒤암홀,뒤어깨선,뒤옆선,뒤밑단
rider_jacket_body                 95 앞판      0.107   1.00  앞암홀,가슴다트,앞밑단,낸단,낸단밑단,앞목선
shirt_collar_blouse_body          48 앞판      0.106   1.01  앞목선,앞밑단
pants_basic                       28 앞판      0.104   1.02  앞밑위곡선,앞인심,앞옆선
dress_gather_skirt                63 뒤판      0.102   1.00  뒤밑단
skirt_aline                        9 앞판      0.101   0.93  앞허리선안,앞허리선밖,앞밑단
dress_gather_skirt                63 앞판      0.100   1.01  앞허리선,앞밑단
pants_skinny                      39 앞판      0.099   1.05  앞다트,앞인심,앞옆선
one_button_jacket_body            83 뒤판      0.098   1.03  뒤옆선
shirt_collar_band                 48         0.098   1.03  목둘레선,윗선
jacket_body                       74 뒤판      0.097   1.04  뒤암홀,뒤중심선,뒤옆선
jacket_body                       74 앞판      0.095   1.01  앞암홀,낸단,낸단밑단
h_line_dress_body                 65 뒤판      0.092   0.98  뒤암홀,뒤어깨선,뒤옆선,뒤밑단
pants_training                    35 앞판      0.089   1.00  앞밑위곡선,앞인심
top_body                          48 앞판      0.087   1.03  앞옆선위,가슴다트,앞옆선,앞밑단
leggings                          41 앞판      0.087   1.05  앞중심선,앞밑위곡선,앞옆선
shirt_collar                      48         0.084   0.87  밑변,앞변,윗선
tight_t_shirt_body                61 뒤판      0.081   1.01  뒤옆선
tight_t_shirt_body                61 앞판      0.071   0.97  앞목선,앞암홀
rider_jacket_body                 95 뒤판      0.069   1.02  뒤암홀,뒤중심선,뒤옆선
sleeve_basic                      48         0.058   1.04  뒤소매산,앞소매산,뒤옆선,앞옆선
sichuni_dartless                  46 앞판      0.056   1.00  앞암홀
sichuni_dartless                  46 뒤판      0.050   1.00  뒤암홀
sichuni_basic                     44 앞판      0.025      -  
sichuni_basic                     44 뒤판      0.021      -  
sleeve_placket                    48         0.020   1.01  
elastic_band                      35         0.016   0.96  
cuff                              48         0.011   1.01  
waistband                          4         0.006   1.01  
skirt_divided                     23 앞판        err      -  p.23 에서 맞출 만한 도면 그림을 못 찾았다
